"Modulo_Macula","Modulo_Periferia","Jaccard"
"orange","turquoise",0.150363237033283
"brown","thistle",0.150144369586141
"brown4","midnightblue",0.149377593360996
"thistle2","mediumpurple2",0.149243466299862
"saddlebrown","palevioletred3",0.148914167528438
"blue","thistle",0.148725751236211
"red","brown2",0.14791067875304
"red","magenta4",0.147533731475337
"yellow","thistle",0.146415094339623
"yellow","palevioletred3",0.145100264850549
"lightcyan1","turquoise",0.144961896697714
"greenyellow","mediumpurple2",0.144548286604361
"brown","palevioletred3",0.144175317185698
"lightcyan1","mediumorchid",0.143866409762364
"turquoise","thistle",0.143865842894969
"black","mediumpurple2",0.141581632653061
"greenyellow","lavenderblush3",0.140782828282828
"brown4","brown2",0.13953488372093
"turquoise","palevioletred3",0.139403564496206
"brown","magenta4",0.138345281922108
"skyblue","lavenderblush3",0.138162307176392
"lightcyan1","orangered4",0.13795045045045
"brown4","white",0.137440758293839
"orange","thistle",0.137305699481865
"blue","brown2",0.137172374210828
"brown4","paleturquoise",0.137096774193548
"brown","brown2",0.136697602474865
"blue","magenta4",0.135755258126195
"green","brown2",0.135658133440839
"brown4","steelblue",0.134035423647678
"yellow","magenta4",0.133750711439954
"green","magenta4",0.133480974431246
"brown4","mediumpurple2",0.132132132132132
"brown4","thistle3",0.131756756756757
"black","lavenderblush3",0.131471040492055
"pink","mediumpurple2",0.131205673758865
"magenta","mediumpurple2",0.130334486735871
"yellow","brown2",0.130007558578987
"brown4","blue2",0.128883774453395
"thistle2","lavenderblush3",0.127361791462561
"turquoise","brown2",0.126919682259488
"brown4","cyan",0.126484254001033
"turquoise","magenta4",0.126014825273562
"brown4","pink",0.124617996604414
"brown4","greenyellow",0.123937360178971
"brown4","orangered4",0.123024054982818
"pink","lavenderblush3",0.120199146514936
"red","mediumpurple2",0.119701295848891
"red","lavenderblush3",0.118561278863233
"brown","mediumpurple2",0.118090452261307
"green","mediumpurple2",0.117611458543474
"brown4","darkturquoise",0.117183881426586
"magenta","lavenderblush3",0.116751269035533
"brown4","sienna3",0.116206357477853
"brown4","red",0.115976645435244
"lightcyan1","yellowgreen",0.115692307692308
"brown4","magenta",0.114715423179003
"brown4","thistle1",0.114388922335942
"yellow","mediumpurple2",0.113086232980333
"brown4","thistle",0.112889637742207
"blue","mediumpurple2",0.112167300380228
"brown4","yellowgreen",0.110591900311526
"green","lavenderblush3",0.110210696920583
"blue","lavenderblush3",0.108558299827685
"turquoise","mediumpurple2",0.106809783565018
"yellow","lavenderblush3",0.106552706552707
"brown4","lightcoral",0.105912930474334
"brown","lavenderblush3",0.104999034935341
"brown4","palevioletred3",0.10468085106383
"brown4","ivory",0.104495037945126
"brown4","yellow",0.104005621925509
"brown4","green",0.102485928705441
"lightcyan1","mediumpurple2",0.10239651416122
"turquoise","lavenderblush3",0.100706713780919
"lightcyan1","brown2",0.100341296928328
"brown4","purple",0.099940511600238
"brown4","lavenderblush3",0.0995893223819302
"brown4","black",0.0992961287078934
"lightcyan1","lavenderblush3",0.0987189148455162
"brown4","blue",0.0915750915750916
"brown4","brown",0.0906555090655509
"brown4","magenta4",0.0824468085106383
"brown4","turquoise",0.080522122393626
